Country Name,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Norway,NOR,Hospital beds (per 1000 people),3.8,3.8,5,5,5.2,5.2,5,4.9,4.6,4.5,4.3,4.2,4,3.9,,,,,,,
Poland,POL,Hospital beds (per 1000 people),4.900000095,,5.599999905,6.7,6.7,6.5,6.5,6.4,6.6,6.7,6.5,6.5,6.5,6.5,,,,,,,
Qatar,QAT,Hospital beds (per 1000 people),2.4,2.4,2.4,2.4,2.4,2.4,2.5,2.5,2.5,1.4,1.2,1.2,1.2,1.4,1.2,,,,,,
Russian Federation,RUS,Hospital beds (per 1000 people),10.9,10.8,10.7,10.5,9.9,9.7,9.7,9.5,9.2,9,8.8,8.6,8.4,8.2,,,,,,,
San Marino,SMR,Hospital beds (per 1000 people),,,,,,,,,,,,3.85,3.8,,,,,,,,
Saudi Arabia,SAU,Hospital beds (per 1000 people),2.3,3.2,2.2,2.2,2.2,2.3,2.3,2.2,2.2,2.2,2.2,2.1,2.1,2.2,2.7,,,,,,
Singapore,SGP,Hospital beds (per 1000 people),,2.900000095,,2.8,,3.2,3.2,3.22,3.1,,,2,,2.1,,2.4,,,,,
Spain,ESP,Hospital beds (per 1000 people),3.7,3.6,3.5,3.5,3.4,3.4,3.3,3.3,3.2,3.2,3.2,3.1,3,3,,,,,,,
Sweden,SWE,Hospital beds (per 1000 people),3.6,3.3,3.1,3.1,3,2.9,2.9,2.9,2.8,2.8,2.7,2.7,2.6,2.6,,,,,,,
Switzerland,CHE,Hospital beds (per 1000 people),6.3,6,5.9,5.8,5.7,5.5,5.4,5.4,5.2,5.1,5,4.9,4.8,4.7,,,,,,,
Thailand,THA,Hospital beds (per 1000 people),2.2,,2.2,,,2.1,,,,,2.1,,,,,,,,,,
Turkey,TUR,Hospital beds (per 1000 people),2.1,2.2,2.3,2.2,2.2,2.3,2.3,2.3,2.3,2.4,2.5,2.5,2.7,2.7,,,,,,,
United Arab Emirates,ARE,Hospital beds (per 1000 people),2.4,2.3,2.2,2.2,2.2,2.2,1.9,1.9,1.9,1.9,1.9,1.1,1.1,1.2,,,,,,,
United Kingdom,GBR,Hospital beds (per 1000 people),4.1,4,4,4,3.9,3.7,3.6,3.4,3.4,3.3,3,2.9,2.8,2.8,,,,,,,
United States,USA,Hospital beds (per 1000 people),3.5,3.5,3.400000095,3.3,,3.2,3.1,3.1,3.1,3.1,3,2.9,2.9,2.9,,,,,,,
