Country Name,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Saudi Arabia,SAU,Physicians (per 1000 people),0.7235,0.6822,,,1.37,,,1.622,2.0626,2.076,2.4074,2.4607,2.453,,2.5654,,2.3776,2.5366,2.6117,,
Singapore,SGP,Physicians (per 1000 people),,1.4095,,1.5451,1.5542,1.5819,1.5744,1.6127,1.6418,1.6758,1.7187,1.7232,1.7964,1.8958,2.0125,,2.2936,,,,
Spain,ESP,Physicians (per 1000 people),3.1158,3.1002,3.0932,3.1928,3.4135,2.7605,2.8206,2.8747,2.9847,3.0395,3.0292,3.0473,3.1396,3.1425,3.1657,3.2166,3.8112,3.8723,,,
Sweden,SWE,Physicians (per 1000 people),3.0731,3.1767,3.2797,3.3509,3.4378,3.5107,3.596,3.676,3.7353,3.8065,3.8779,3.9569,4.0368,4.1259,4.2037,4.2856,3.984,,,,
Switzerland,CHE,Physicians (per 1000 people),3.5298,3.5373,3.59,3.7516,3.788,3.8207,3.8589,3.8518,3.8298,3.8476,3.8166,3.8355,3.9102,4.0303,4.1171,4.1898,4.2473,4.2957,,,
Thailand,THA,Physicians (per 1000 people),0.368,0.2982,0.2964,0.277,0.2911,0.293,0.2875,0.2959,0.3164,0.3387,0.3906,,,,,0.4651,0.445,0.8075,0.805,,
Turkey,TUR,Physicians (per 1000 people),1.3479,1.399,1.4114,1.4294,1.4492,1.4852,1.5195,1.5579,1.6068,1.6635,1.7068,1.716,1.7384,1.7619,1.756,1.7988,1.8142,1.8492,,,
United Arab Emirates,ARE,Physicians (per 1000 people),1.8015,1.9829,2.0027,2.0763,1.9176,1.5193,1.3298,1.4053,1.6405,1.5177,1.4195,1.4369,1.4767,1.7413,1.9953,2.2111,2.371,2.4356,2.5278,,
United Kingdom,GBR,Physicians (per 1000 people),1.9913,2.0416,2.1146,2.204,2.3357,2.412,2.459,2.4844,2.5543,2.6279,2.6265,2.6603,2.6667,2.6774,2.7149,2.7465,2.7563,2.7863,2.8117,,
United States,USA,Physicians (per 1000 people),2.5942,2.2,2.3,,2.7147,2.4356,2.4285,2.4358,2.4412,2.4471,2.4354,2.4641,2.4985,2.5596,2.574,2.5781,2.5881,2.612,,,
